time(nanoSecond),input
1035100.0,5000.0
2102737.0,10000.0
3535685.0,15000.0
4702533.0,20000.0
6496853.0,25000.0
6826672.0,30000.0
8808770.0,35000.0
9744187.0,40000.0
1.0721478E7,45000.0
1.2956089E7,50000.0
1.3562793E7,55000.0
1.5218127E7,60000.0
1.7054857E7,65000.0
1.7703497E7,70000.0
1.9063355E7,75000.0
2.0951064E7,80000.0
2.1995245E7,85000.0
2.3489235E7,90000.0
2.4865844E7,95000.0
2.6393571E7,100000.0
