time(nanoSecond),input
601495.0,5000.0
1091253.0,10000.0
1696166.0,15000.0
3221622.0,20000.0
3626053.0,25000.0
3950542.0,30000.0
5492629.0,35000.0
5267426.0,40000.0
6074303.0,45000.0
6668080.0,50000.0
8603202.0,55000.0
8274255.0,60000.0
1.0140606E7,65000.0
9957557.0,70000.0
1.0660923E7,75000.0
1.1318969E7,80000.0
1.2728272E7,85000.0
1.2453546E7,90000.0
1.4140786E7,95000.0
1.3618481E7,100000.0
