time(nanoSecond),input
156466.0,5000.0
364948.0,10000.0
512794.0,15000.0
690903.0,20000.0
848937.0,25000.0
958170.0,30000.0
1198286.0,35000.0
1298321.0,40000.0
1500426.0,45000.0
1663410.0,50000.0
1850807.0,55000.0
2014112.0,60000.0
2080519.0,65000.0
2286720.0,70000.0
2468393.0,75000.0
2570832.0,80000.0
2754543.0,85000.0
2869470.0,90000.0
3151577.0,95000.0
3231919.0,100000.0
